"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of dependents,Elderly returns,Adjusted gross income (AGI) [6],"Business or profession - Number of returns
net income (less loss)",Farm returns,Unemployment compensation [8],Taxable Social Security benefits,Partnership/S-corp net income (less loss),Self-employment tax
0,Total,3579250,1738880,1411360,375590,6821800,2024790,882900,326628023,489950,18550,131410,543580,209300,390910
0,"$1 under $25,000",917680,693700,100720,110450,1123620,281000,193020,11770347,118310,2800,23650,50130,14420,99320
0,"$25,000 under $50,000",841340,502710,175410,146810,1454180,449120,167600,30781842,89920,3070,35780,124250,18930,69470
0,"$50,000 under $75,000",542860,260790,209860,62020,1072540,321790,146530,33473947,68180,3860,26070,109640,21870,51970
0,"$75,000 under $100,000",375730,123500,219510,27370,843690,248790,114910,32614295,53640,2050,17550,86650,20200,40090
0,"$100,000 under $200,000",627660,123680,475390,24090,1575820,474050,187870,86306580,104910,5740,24410,130820,60310,80400
0,"$200,000 or more",273980,34500,230470,4850,751950,250040,72970,131681012,54990,1030,3950,42090,73570,49660
,,,,,,,,,,,,,,,
98001,,16940,7800,6980,1870,33430,10580,3570,1302277,2540,0,610,2070,1000,2020
98001,"$1 under $25,000",3990,3070,450,420,4610,1140,660,50371,670,0,90,170,70,570
98001,"$25,000 under $50,000",4050,2410,840,700,7110,2280,690,149387,540,0,140,450,120,440
98001,"$50,000 under $75,000",2720,1220,1040,390,5630,1880,600,167372,390,0,110,410,140,290
98001,"$75,000 under $100,000",1980,540,1220,190,4880,1700,500,171384,280,0,100,350,130,220
98001,"$100,000 under $200,000",3360,490,2690,150,8930,2880,880,454272,530,0,150,570,300,390
98001,"$200,000 or more",840,70,740,20,2270,700,240,309491,130,0,20,120,240,110
,,,,,,,,,,,,,,,
98002,,16730,8580,4800,3080,32480,11560,3230,839365,1880,0,590,1800,400,1460
98002,"$1 under $25,000",4990,3470,520,940,7380,2430,960,66789,640,0,110,270,50,530
98002,"$25,000 under $50,000",5430,2980,960,1370,10290,3950,820,198549,520,0,200,540,80,400
98002,"$50,000 under $75,000",3020,1360,1090,520,6530,2420,620,184002,300,0,120,430,70,230
98002,"$75,000 under $100,000",1530,450,900,160,3780,1350,390,131515,180,0,70,260,60,110
98002,"$100,000 under $200,000",1580,280,1190,90,4070,1300,380,203567,200,0,90,260,90,160
98002,"$200,000 or more",180,40,140,** ,430,110,60,54943,40,0,** ,40,50,30
,,,,,,,,,,,,,,,
98003,,22780,11600,6910,3860,43690,15130,4670,1305225,3080,0,660,2540,810,2390
98003,"$1 under $25,000",6880,4840,710,1220,9640,3090,1250,89942,1080,0,140,310,80,880
98003,"$25,000 under $50,000",6890,3820,1230,1670,12900,4850,1010,252220,800,0,200,620,150,620
98003,"$50,000 under $75,000",3840,1780,1360,620,8160,2970,860,235192,470,0,120,560,110,320
98003,"$75,000 under $100,000",2040,630,1190,190,5010,1780,520,176387,230,0,80,360,80,170
98003,"$100,000 under $200,000",2580,460,1960,160,6600,2060,810,344888,390,0,120,560,210,300
98003,"$200,000 or more",550,70,460,** ,1380,380,220,206596,110,0,** ,130,180,100
,,,,,,,,,,,,,,,
98004,,18840,10120,7520,870,33200,8170,4050,6309943,3070,30,380,2560,2680,2600
98004,"$1 under $25,000",2920,2500,230,140,2600,390,510,31608,490,0,30,120,100,420
98004,"$25,000 under $50,000",2200,1680,280,170,2900,510,390,82604,320,** ,60,270,120,270
98004,"$50,000 under $75,000",1970,1440,360,120,2780,490,400,122216,270,** ,50,300,130,210
98004,"$75,000 under $100,000",1680,1120,470,70,2540,390,420,146354,240,** ,60,330,150,170
98004,"$100,000 under $200,000",4590,2360,1980,180,8140,1600,1020,662074,630,30,100,750,400,460
98004,"$200,000 or more",5480,1020,4200,190,14240,4790,1310,5265087,1120,** ,80,790,1780,1070
,,,,,,,,,,,,,,,
98005,,10130,4900,4530,540,19280,5270,2130,1934039,1630,0,220,1280,1080,1290
98005,"$1 under $25,000",1840,1520,190,90,1770,270,340,20725,310,0,** ,70,70,260
98005,"$25,000 under $50,000",1490,1070,260,120,2160,460,270,55605,230,0,50,180,70,190
98005,"$50,000 under $75,000",1180,770,290,90,1800,340,270,73370,170,0,40,190,70,110
98005,"$75,000 under $100,000",1000,480,450,60,1890,440,240,87219,120,0,20,180,80,90
98005,"$100,000 under $200,000",2350,780,1430,110,5090,1320,560,334203,340,0,50,390,240,250
98005,"$200,000 or more",2270,280,1910,70,6570,2440,450,1362917,460,0,60,270,550,390
,,,,,,,,,,,,,,,
98006,,19040,7970,9790,1060,39510,12530,4880,3730489,3270,20,450,2760,2460,2720
98006,"$1 under $25,000",4010,3330,430,200,3490,680,610,41967,540,0,40,120,110,460
98006,"$25,000 under $50,000",2400,1670,480,220,3630,860,530,88998,400,** ,60,340,140,330
98006,"$50,000 under $75,000",1870,1130,540,160,3160,760,540,115752,290,0,50,380,150,240
98006,"$75,000 under $100,000",1420,620,660,110,2760,690,530,124004,230,20,40,360,150,180
98006,"$100,000 under $200,000",4120,880,2950,240,10350,3300,1440,594020,750,** ,140,940,550,570
98006,"$200,000 or more",5220,340,4730,130,16120,6240,1230,2765748,1060,** ,120,620,1360,940
,,,,,,,,,,,,,,,
98007,,13520,6690,5660,990,25680,7140,2110,1472767,1800,0,280,1170,650,1400
98007,"$1 under $25,000",2710,2090,310,270,3200,730,480,33078,480,0,50,100,50,440
98007,"$25,000 under $50,000",2540,1630,520,350,4260,1250,390,93721,350,0,60,240,60,280
98007,"$50,000 under $75,000",1790,1000,590,160,3250,890,340,111003,240,0,50,230,60,170
98007,"$75,000 under $100,000",1680,660,930,80,3560,960,260,144376,160,0,40,190,50,110
98007,"$100,000 under $200,000",3110,1090,1880,100,6820,1830,430,440939,330,0,50,300,180,210
98007,"$200,000 or more",1690,220,1430,30,4590,1480,210,649650,240,0,30,110,250,190
,,,,,,,,,,,,,,,
98008,,12610,5710,5900,840,25020,7460,3170,1971642,2090,0,310,1930,1070,1630
98008,"$1 under $25,000",2620,2190,240,150,2450,420,510,29214,410,0,30,100,50,330
98008,"$25,000 under $50,000",1890,1280,360,210,2890,700,460,69783,230,0,40,320,60,190
98008,"$50,000 under $75,000",1450,790,490,150,2630,710,470,89429,230,0,40,350,80,180
98008,"$75,000 under $100,000",1090,450,540,90,2170,540,390,94883,180,0,40,300,80,150
98008,"$100,000 under $200,000",2850,750,1900,160,6760,2020,880,410594,510,0,100,600,280,360
98008,"$200,000 or more",2710,250,2370,80,8120,3070,460,1277739,530,0,60,260,520,420
,,,,,,,,,,,,,,,
98010,,2790,1180,1360,220,5520,1580,740,315715,420,0,110,450,230,340
98010,"$1 under $25,000",580,480,60,40,550,90,130,7096,70,0,30,40,20,60
98010,"$25,000 under $50,000",440,300,70,60,650,160,100,16169,60,0,** ,70,** ,50
