"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,"Business or profession
net income (less loss)",Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
0,Total,3704660,1839290,1422870,381490,6936180,904980,498890,17910,137300,558760,207150
0,"$1 under $25,000",931500,714700,97110,105270,1116250,191870,121520,2750,22510,51540,13740
0,"$25,000 under $50,000",861980,530250,165490,147820,1443360,169300,90500,2960,37880,124000,17950
0,"$50,000 under $75,000",562230,282310,201320,66930,1074470,148860,67710,3640,27030,110650,20830
0,"$75,000 under $100,000",385270,134330,214890,29590,843480,117730,52980,1860,18840,88580,19630
0,"$100,000 under $200,000",662580,139290,491370,26370,1634110,199890,107600,5720,26610,139720,59700
0,"$200,000 or more",301100,38410,252690,5510,824510,77330,58580,980,4430,44270,75300
,,,,,,,,,,,,
98001,,17490,8270,6990,1920,33760,3750,2610,0,580,2140,1030
98001,"$1 under $25,000",4110,3150,460,430,4770,690,690,0,70,190,70
98001,"$25,000 under $50,000",4060,2520,770,680,6820,670,550,0,120,430,120
98001,"$50,000 under $75,000",2940,1390,1040,430,5840,670,410,0,110,450,140
98001,"$75,000 under $100,000",1980,600,1170,190,4720,530,290,0,90,370,120
98001,"$100,000 under $200,000",3490,530,2750,170,9150,940,520,0,160,570,320
98001,"$200,000 or more",910,80,800,20,2460,250,150,0,30,130,260
,,,,,,,,,,,,
98002,,17190,8990,4810,3090,32510,3310,1910,0,660,1830,410
98002,"$1 under $25,000",4980,3570,500,830,7060,930,660,0,110,270,40
98002,"$25,000 under $50,000",5490,3070,930,1380,10130,840,490,0,190,540,70
98002,"$50,000 under $75,000",3230,1500,1050,600,6670,640,340,0,150,420,80
98002,"$75,000 under $100,000",1580,520,880,170,3730,410,170,0,90,280,60
98002,"$100,000 under $200,000",1710,300,1280,110,4430,420,210,0,120,280,110
98002,"$200,000 or more",200,30,170,0,490,70,40,0,0,40,50
,,,,,,,,,,,,
98003,,23510,12330,6840,3910,43710,4840,3190,0,800,2590,770
