"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
0,Total,3729600,1882860,1413550,369430,6904690,929640,17350,820680,569460,204060
0,"$1 under $25,000",900860,700580,96790,88910,1100670,207170,2520,169650,59120,14350
0,"$25,000 under $50,000",877940,552010,159710,148280,1429340,175820,2720,247420,128960,18450
0,"$50,000 under $75,000",569560,295070,194710,67920,1055390,151720,3390,134270,112090,20550
0,"$75,000 under $100,000",387710,140370,208930,30700,828040,118030,2100,90910,87960,19000
0,"$100,000 under $200,000",665260,146850,484170,27460,1612030,197840,5490,141320,137380,56650
0,"$200,000 or more",328270,47980,269240,6160,879220,79060,1130,37110,43950,75060
,,,,,,,,,,,
98001,,17680,8400,7000,1920,34130,3850,20,4760,2160,1030
98001,"$1 under $25,000",3990,3070,460,390,4960,750,20,880,210,80
98001,"$25,000 under $50,000",4210,2560,810,710,7100,690,0,1360,450,120
98001,"$50,000 under $75,000",2950,1470,1000,410,5660,650,0,780,420,130
98001,"$75,000 under $100,000",2060,630,1160,220,4770,560,0,600,370,140
98001,"$100,000 under $200,000",3510,570,2750,160,9120,930,0,960,570,300
98001,"$200,000 or more",960,100,820,30,2520,270,0,180,140,260
,,,,,,,,,,,
98002,,17490,9390,4780,3020,32620,3400,0,4470,1860,400
98002,"$1 under $25,000",5000,3630,490,790,7180,1010,0,910,300,40
98002,"$25,000 under $50,000",5680,3310,900,1360,10250,850,0,1590,550,60
98002,"$50,000 under $75,000",3240,1540,1040,590,6510,680,0,910,440,90
98002,"$75,000 under $100,000",1690,570,940,170,3970,390,0,490,260,70
98002,"$100,000 under $200,000",1690,300,1260,110,4270,410,0,530,270,100
98002,"$200,000 or more",190,40,150,0,440,60,0,40,40,40
,,,,,,,,,,,
98003,,23630,12640,6770,3780,43270,4980,0,6060,2610,800
